gender,age,Salary,Rent,Groceries,Utilities,Transportation,Healthcare,Entertainment,Savings,Others,Investment_Recommendation
Male,31,580891,96796,58499,44516,54759,53285,99118,25276,148642,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,834595,154826,108915,72917,71698,45974,165947,36567,177751,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,131818,20829,13480,12642,9686,18602,22530,5371,28678,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,572754,108463,70473,33779,40811,50496,106843,29799,132090,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,61337,6203,7651,3887,3571,7150,11763,3261,17851,Diversify into more Fixed Deposits or Government Bonds.
Male,26,489531,58440,67342,37237,44171,71703,83694,16744,110200,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,860089,110270,115724,84800,55296,82764,153798,50301,207136,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,23,273379,34094,40482,20832,23625,35029,43257,15020,61040,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,21,196317,38795,28134,18094,13018,26543,38167,4251,29315,Diversify into more Fixed Deposits or Government Bonds.
Female,35,873774,102289,120449,68929,48401,78596,145571,51405,258134,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,326066,46315,43182,29336,27831,36439,63688,9892,69383,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,585509,88269,80686,35834,35473,69340,110680,31168,134059,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,893210,129365,121311,52295,58718,101122,140586,56678,233135,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,35,717284,80899,99586,47291,62149,64897,134406,43338,184718,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,247409,39490,26769,24136,18958,18294,42164,13355,64243,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,593189,114800,86208,33820,55516,64668,101129,20069,116979,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,756767,135810,107642,62732,40050,99020,114489,27342,169682,Diversify into more Fixed Deposits or Government Bonds.
Male,29,371646,53672,46569,23339,26370,47842,60788,20502,92564,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,527608,53424,56528,50790,38790,29061,95245,29669,174101,Diversify into more Fixed Deposits or Government Bonds.
Female,26,735459,80061,86342,59367,59856,102001,128430,24238,195164,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,940965,104781,113706,55767,90378,67004,158852,53006,297471,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,31,527368,70161,70261,42328,51138,70243,95004,18552,109681,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,621316,100329,81488,39440,36596,63313,102743,27345,170062,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,26,182426,18273,24460,9650,15830,12915,28867,11593,60838,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,167697,33262,20309,15674,8903,16915,30871,5744,36019,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,718871,81194,72441,49844,62640,107151,124475,28634,192492,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,660728,88978,69110,47907,53754,74238,99531,37120,190090,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,781569,130185,97775,76003,49162,105662,124044,25080,173658,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,575937,69395,83088,51648,41769,50569,86762,32797,159909,Diversify into more Fixed Deposits or Government Bonds.
Male,27,760878,149508,105706,46911,48107,70214,129643,25976,184813,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,478545,85737,66663,40831,24046,67828,79859,11685,101896,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,788199,129061,107889,65852,54816,107287,132280,29383,161631,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,351563,67562,47951,19242,31239,49278,67243,10197,58851,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,449166,81979,46615,28168,41927,24317,76315,27878,121967,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,34,714832,103354,74508,52151,61912,58358,139626,43653,181270,Diversify into more Fixed Deposits or Government Bonds.
Female,24,890079,103940,93164,57827,65378,58479,144263,70957,296071,Diversify into more Fixed Deposits or Government Bonds.
Male,29,91649,15717,11905,7827,4595,5916,16917,4934,23838,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,166833,30914,21568,12990,11659,21965,32132,5168,30437,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,769789,105892,78919,68976,64395,72299,134893,46342,198073,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,153708,28861,16747,14210,11603,9317,25450,8016,39504,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,907478,171825,95664,73036,76143,70436,170453,27574,222347,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,364942,45241,36503,27421,23054,21096,70815,16879,123933,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,88960,13943,10103,7106,7358,10903,14659,2606,22282,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,262327,48721,38946,24740,14200,33713,45724,9186,47097,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,611548,98564,77515,51220,49423,65854,96099,32240,140633,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,154617,27112,22917,13852,12234,21912,28251,3713,24626,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,28,70738,8315,9211,6141,6452,5555,13801,3355,17908,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,707019,121826,99270,68273,45602,63099,137868,31384,139697,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,182857,25584,22559,15700,9703,15860,29314,9741,54396,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,859342,152284,91517,85364,63038,109396,144044,31801,181898,Diversify into more Fixed Deposits or Government Bonds.
Male,21,98464,19347,13245,5049,6065,7476,19490,4918,22874,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,849836,142656,87943,76647,50211,55136,164394,27422,245427,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,121302,12898,17706,7591,10762,14037,18876,7078,32354,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,595113,71853,80204,41088,45965,86066,96979,22504,150454,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,177508,22943,21035,13993,15978,24729,27169,8525,43136,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,373095,59412,48520,33454,36150,46572,59166,17557,72264,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,488675,91148,56189,27421,44127,72146,76416,20019,101209,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,167568,16922,17054,14957,15212,14232,28888,10731,49572,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,394117,73215,44852,35161,23664,37336,73284,17971,88634,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,334548,50259,44660,17573,21549,23963,51550,15095,109899,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,888909,165340,128726,68140,65975,85617,175962,38651,160498,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,32,528528,64295,55363,27864,35878,48495,85824,40480,170329,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,885453,162671,121505,65696,83520,127965,172118,19170,132808,Consider increasing investment in Mutual Funds or Equity Market.
Female,27,856626,159695,100669,48111,74682,112122,170759,28225,162363,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,30,922387,115393,95255,65175,72750,91916,145866,46088,289944,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,496785,95279,61087,37562,36561,43951,76024,17986,128335,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,829882,124482,107239,61334,56594,108175,153311,42555,176192,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,497681,51148,68284,26411,32125,70526,93946,25801,129440,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,27,539214,75474,55265,33977,39925,49758,93234,19739,171842,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,163709,26735,20062,8323,15873,11422,25945,9714,45635,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,703587,94890,91873,35389,50357,36927,112910,33600,247641,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,199338,39288,22948,18332,14161,27152,36507,4124,36826,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,944308,104969,95911,51486,57618,121399,176287,41902,294736,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,541770,75329,77459,29048,42389,33320,108193,25378,150654,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,694177,132954,74728,69081,36767,38799,132700,37157,171991,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,885207,110468,99446,65180,86025,99664,169629,47573,207222,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,129140,14650,16651,12830,7075,12185,24310,8245,33194,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,128816,14424,15487,11290,10267,17759,19980,6110,33499,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,720522,115946,101387,66491,53108,79569,108361,33048,162612,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,753746,76539,99762,56753,73643,49979,127525,50063,219482,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,436860,66145,61480,32927,36749,60354,66726,21156,91323,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,356346,42012,49092,27899,23749,51973,68444,11978,81199,Diversify into more Fixed Deposits or Government Bonds.
Male,26,816567,98207,96314,54388,47351,117374,158725,45785,198423,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,358164,52138,49957,24362,33320,50374,63365,12496,72152,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,197520,30274,22104,10783,13697,25363,36361,10850,48088,Diversify into more Fixed Deposits or Government Bonds.
Male,31,107042,15537,11369,8149,5563,9964,17134,7253,32073,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,86214,9733,10667,5971,7955,9153,14979,4430,23326,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,85353,10517,10760,5761,4732,11023,14343,3609,24608,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,198498,19861,20227,12424,13195,23802,33432,13574,61983,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,858068,136190,100847,49656,42962,75777,146160,41800,264676,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,714188,128726,74831,39812,44046,72400,133050,42132,179191,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,549193,69588,58429,41443,35686,81527,83473,21323,157724,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,826809,144986,98654,64584,75052,96477,148972,33314,164770,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,282069,30019,29586,22672,19291,42189,53884,16265,68163,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,584900,69045,76760,30060,50744,31715,107448,26566,192562,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,785082,124922,89341,40134,66164,74478,146191,25758,218094,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,32,151204,23137,15531,8648,13491,11018,23386,6393,49600,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,117961,13464,16773,9378,10571,8932,21388,7112,30343,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,102506,15724,14713,6243,10081,5942,19277,3668,26858,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,30,408172,45588,52226,26879,24950,38332,81398,22661,116138,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,770248,98484,114994,49264,66228,58796,145358,38983,198141,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,234305,36849,28807,14560,18855,32202,35513,11699,55820,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,873477,164207,114290,54961,59024,109080,147042,22669,202204,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,736007,81367,84101,51269,50208,96154,118555,35872,218481,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,24,200192,36319,27961,12064,13654,13139,30931,10277,55847,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,22,905178,119438,113767,71867,72694,130415,146397,47566,203034,Diversify into more Fixed Deposits or Government Bonds.
Female,34,396794,41715,40282,21998,32610,40881,62736,17973,138599,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,35,387779,59308,57372,22932,24413,24065,69696,25047,104946,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,771897,95562,95423,73624,65931,79373,140458,38343,183183,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,783250,135383,97318,50186,47237,111113,119769,29716,192528,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,25,316344,53464,41126,22670,17466,20231,58469,15270,87648,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,583474,78159,69282,41680,49101,64237,89577,22159,169279,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,508276,54414,51707,45135,47040,46567,100863,30293,132257,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,499006,92834,59062,48762,43636,42600,97028,11556,103528,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,30,585896,92079,73828,31691,54557,45800,98910,27885,161146,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,507762,92257,65881,39706,34588,39589,88303,18514,128924,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,90105,12070,10995,8305,8697,11982,15884,3795,18377,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,544248,72668,66921,52805,36871,36627,94484,30387,153485,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,24,395399,44542,41954,25774,37714,46444,63697,21691,113583,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,23,857930,142437,108230,75471,43958,59293,170143,38701,219697,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,26,437116,47056,50447,21895,34519,65545,78464,22411,116779,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,352504,46803,39428,26582,33484,17969,62916,17902,107420,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,727282,117905,103273,52693,44280,63754,114567,25041,205769,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,518435,71330,68063,32735,49658,61639,95556,23592,115862,Diversify into more Fixed Deposits or Government Bonds.
Female,25,697100,69827,98047,66838,35531,76562,128147,26574,195574,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,108851,20009,14291,6667,10707,7792,20021,4328,25036,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,34,906125,156151,95042,88463,54571,65276,161020,38549,247053,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,25,431510,62229,43951,26643,38265,60507,69764,23080,107071,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,23,404064,41576,41310,28143,23191,26916,73285,31522,138121,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,25,119530,21264,13964,11207,11005,12242,20774,3077,25997,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,572707,65891,59717,43720,48011,64073,110901,29922,150472,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,516582,94519,55285,30263,49551,44153,83092,30539,129180,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,557371,109808,73511,38691,47053,28736,87639,23533,148400,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,496665,91000,57224,26270,34238,36815,75892,24513,150713,Diversify into more Fixed Deposits or Government Bonds.
Female,24,449062,60687,61383,23872,30964,37830,81882,28780,123664,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,32,374259,42777,52700,30123,19260,47414,66201,20840,94944,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,642818,90565,85672,38531,38307,54014,113118,38212,184399,Diversify into more Fixed Deposits or Government Bonds.
Male,29,62098,10351,8760,4429,5938,3783,9896,3189,15752,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,435026,54542,47083,41034,23239,64883,84016,22462,97767,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,622022,101310,69195,55923,32774,67310,106962,33004,155544,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,520820,53320,62154,38465,30009,47640,101833,27522,159877,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,525579,65791,66547,27878,34012,67465,95706,17221,150959,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,466134,73177,51679,46048,41572,29269,78906,21677,123806,Diversify into more Fixed Deposits or Government Bonds.
Female,32,316128,37378,42745,29106,15877,20018,51900,23632,95472,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,360516,50635,39121,20206,34273,47236,65241,15983,87821,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,607181,107905,70377,49784,52729,65311,96200,32743,132132,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,30,400073,72461,49822,32405,35208,38350,74796,17203,79828,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,231714,33807,25347,18511,18008,23183,35436,13762,63660,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,445249,68511,54112,40404,26646,34359,81029,19487,120701,Consider increasing investment in Mutual Funds or Equity Market.
Female,21,542956,70751,61208,40334,48202,70873,102906,28036,120646,Diversify into more Fixed Deposits or Government Bonds.
Male,30,684399,71913,102051,48813,40824,100608,130898,36528,152764,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,538326,81995,73959,40898,41436,78138,100623,19001,102276,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,152311,21213,16483,8497,9898,18168,24305,6081,47666,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,31,422380,45522,60110,26213,25361,37628,76651,23936,126959,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,383329,73739,51404,29937,32805,44609,72209,12363,66263,Diversify into more Fixed Deposits or Government Bonds.
Male,27,497254,89868,72103,42179,33754,38785,90430,21231,108904,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,944605,96719,129747,57709,49804,61702,172711,57299,318914,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,261990,48388,27591,23966,21626,18730,48952,12666,60071,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,21,625862,69346,70924,51285,43202,79187,110654,37375,163889,Diversify into more Fixed Deposits or Government Bonds.
Male,29,416262,46248,56898,30484,31623,32637,68039,17887,132446,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,367531,50475,41145,21863,36051,34820,67591,15883,99703,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,26,122834,19282,15349,9905,10580,14297,23106,3475,26840,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,577461,63176,67531,42785,35352,73524,107395,35917,151781,Diversify into more Fixed Deposits or Government Bonds.
Male,30,546782,94536,57607,45519,38604,41534,98474,22203,148305,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,144338,22096,18591,11035,7294,12251,27355,6157,39559,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,935186,141155,109727,56076,56100,116792,169641,55198,230497,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,350050,49742,46147,25703,25798,47400,60459,18279,76522,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,657324,106520,68540,35101,65151,59117,117906,29346,175643,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,163069,18898,17331,9888,13089,17066,27139,6229,53429,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,835689,110648,100212,73391,72600,60287,134867,46180,237504,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,330963,54668,42382,18401,21276,17597,62247,20665,93727,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,27,675368,129703,70506,64370,64782,101150,127573,14809,102475,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,410836,51953,55221,34505,34106,35049,72303,16620,111079,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,772885,123414,107137,65645,55358,79200,145782,24207,172142,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,24,750411,91648,93238,56061,38401,81190,128236,41244,220393,Diversify into more Fixed Deposits or Government Bonds.
Female,28,125323,23997,14620,6942,7560,10108,24209,5869,32018,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,550063,109742,62846,29393,35787,82102,102947,24368,102878,Consider increasing investment in Mutual Funds or Equity Market.
Male,35,202398,32279,23026,19779,12439,18157,33329,10418,52971,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,279724,39665,41359,27517,15342,39954,53120,10748,52019,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,926066,126203,124072,83840,84755,120923,153728,27557,204988,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,107449,16588,12111,9590,5612,9943,20300,3599,29706,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,412781,69635,46047,23268,26994,21437,74920,20058,130422,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,174910,34872,18347,16572,13100,10804,33724,5276,42215,Diversify into more Fixed Deposits or Government Bonds.
Male,29,620732,102164,69684,44976,48821,88124,101940,22900,142123,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,899916,107954,105453,50657,69657,95322,163037,37875,269961,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,135881,19463,13870,7068,8897,13441,25090,8451,39601,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,202549,28393,27907,17496,16533,12996,33291,10113,55820,Consider increasing investment in Mutual Funds or Equity Market.
Female,35,171204,31055,20573,16838,14256,13920,30487,6061,38014,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,276624,52890,28331,16997,15167,36117,44136,14463,68523,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,741512,115794,104932,73964,42794,48229,134815,22901,198083,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,560634,101891,66621,39215,44067,47211,92511,20378,148740,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,27,395006,67894,54681,31761,24412,47194,62369,20040,86655,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,591845,85600,73266,35633,47807,87892,106210,25684,129753,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,171551,22104,19950,10262,12992,11116,31038,9391,54698,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,268357,43590,27785,25280,18498,18971,46973,16840,70420,Diversify into more Fixed Deposits or Government Bonds.
Male,29,890501,150876,104192,58054,73969,52433,149845,44528,256604,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,927953,163368,107899,83152,82713,48204,148028,48707,245882,Consider increasing investment in Mutual Funds or Equity Market.
Female,32,203455,30438,20627,13831,16539,30349,32623,6807,52241,Consider increasing investment in Mutual Funds or Equity Market.
Male,22,238528,32544,30423,19851,16230,17375,35842,10209,76054,Diversify into more Fixed Deposits or Government Bonds.
Female,26,750672,82579,84154,49641,40489,67999,118892,48535,258383,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,263040,36244,34717,23360,14266,23213,52316,7911,71013,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,354974,51788,43820,32369,22900,45296,53285,15730,89786,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,480234,63358,67429,33687,25690,58031,72353,21309,138377,Consider increasing investment in Mutual Funds or Equity Market.
Male,21,381932,57226,52358,25075,21085,50616,57477,22121,95974,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,666016,73695,70788,38836,38241,86234,126909,27051,204262,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,811005,90226,104315,68924,63219,42796,152716,49507,239302,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,820154,140842,90513,43890,81904,80194,152805,25218,204788,Consider increasing investment in Mutual Funds or Equity Market.
Female,31,258631,38922,32382,14520,17478,35988,47720,12402,59219,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,527094,99003,60887,47173,28899,56797,93141,20208,120986,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,27,183283,22162,22246,16901,15860,17240,36360,9375,43139,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,340965,35606,46895,29298,17887,48641,59107,12829,90702,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,357764,51812,50691,22369,34240,20204,55263,19701,103484,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,764639,115445,102137,39893,48182,91997,127863,31197,207925,Consider increasing investment in Mutual Funds or Equity Market.
Female,26,684100,124491,95639,59687,55673,99496,103335,16803,128976,Consider increasing investment in Mutual Funds or Equity Market.
Female,28,299365,43704,34138,19359,29642,16292,45292,21468,89470,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,75708,8783,7733,5521,7124,6103,14885,4767,20792,Consider increasing investment in Mutual Funds or Equity Market.
Female,23,308268,39471,37538,29651,17314,17321,49149,14441,103383,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,28,806579,95127,81937,69271,46860,77060,125842,42397,268085,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,825836,115408,120282,70416,78708,81683,130868,32206,196265,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,750150,119550,95316,71126,59726,56759,148252,23411,176010,Consider increasing investment in Mutual Funds or Equity Market.
Male,31,610023,90066,88077,52155,46831,72460,104857,21731,133846,Consider increasing investment in Mutual Funds or Equity Market.
Female,24,538388,87641,73679,52155,49439,78642,83878,22472,90482,Focus on balancing investments between Gold and Fixed Deposits for stability.
Female,24,934909,112217,97273,77448,78228,137789,176278,35607,220069,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,30,536160,85791,69954,47327,42386,47527,98693,17917,126565,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Female,27,211255,28510,21882,19184,11313,16875,41465,11232,60794,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,21,943407,114896,141176,88715,50386,68896,171807,36867,270664,Consider increasing investment in Mutual Funds or Equity Market.
Female,25,649564,99850,70343,54326,49732,95449,101781,27260,150823,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,579811,76055,75743,34883,55818,54382,99489,32769,150672,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,359581,68591,44839,31846,20567,27055,66396,19323,80964,Consider increasing investment in Mutual Funds or Equity Market.
Female,34,202480,22621,21609,19997,11048,10993,35755,9851,70606,Evaluate risk tolerance and consider shifting some funds to Equity Market or Mutual Funds for higher returns.
Male,31,332240,43112,43488,22447,33152,24194,64210,19059,82578,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,102441,14727,15353,6571,5588,10932,15404,4992,28874,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,166068,30503,20092,9997,10426,23479,30409,4780,36382,Consider increasing investment in Mutual Funds or Equity Market.
Male,29,92884,13591,12143,6990,8290,4703,15238,5028,26901,Consider increasing investment in Mutual Funds or Equity Market.
Male,25,511301,78684,53791,30044,44814,52909,93056,28705,129298,Focus on balancing investments between Gold and Fixed Deposits for stability.
Male,27,624991,98988,72310,47601,35324,48254,114221,21686,186607,Consider increasing investment in Mutual Funds or Equity Market.
Male,30,683416,68400,98654,67123,65116,48896,128300,30138,176789,Consider increasing investment in Mutual Funds or Equity Market.
Male,26,410768,43991,57405,37137,35367,61474,81992,11016,82386,Consider increasing investment in Mutual Funds or Equity Market.
Male,27,905685,162608,120448,78182,90156,121056,153582,34807,144846,Consider increasing investment in Mutual Funds or Equity Market.
